1,STATE ABBREVIATION,STATE,DISTRICT,FEC ID#,INCUMBENT.INDICATOR..I.,CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
2,AL,Alabama,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
3,AL,Alabama,1,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,R,48702,55.55%,,,196374,97.86%,,,,,W,
4,AL,Alabama,1,H2AL01176,,Dean,Young,"Young, Dean",,R,21308,24.30%,,,,,,,,,,
5,AL,Alabama,1,H2AL01184,,Pete,Riehm,"Riehm, Pete",,R,13809,15.75%,,,,,,,,,,
6,AL,Alabama,1,H0AL01030,,Peter,Gounares,"Gounares, Peter",,R,3854,4.40%,,,,,,,,,,
7,AL,Alabama,1,n/a,,,,,Party Votes:,R,87673,,,,,,,,,,,
8,AL,Alabama,1,n/a,,,Scattered,Scattered,,W,,,,,4302,2.14%,,,,,,
9,AL,Alabama,1,n/a,,,,,District Votes:,,87673,,,,200676,,,,,,,
10,AL,Alabama,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
11,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",,R,Unopposed,,,,180591,63.60%,,,,,W,
12,AL,Alabama,2,H2AL02141,,Therese,Ford,"Ford, Therese",,D,Unopposed,,,,103092,36.31%,,,,,,
13,AL,Alabama,2,n/a,,,Scattered,Scattered,,W,,,,,270,0.10%,,,,,,
14,AL,Alabama,2,n/a,,,,,District Votes:,,,,,,283953,,,,,,,
15,AL,Alabama,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
16,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,R,Unopposed,,,,175306,64.00%,,,,,W,
17,AL,Alabama,3,H2AL03099,,John Andrew,Harris,"Harris, John Andrew",,D,Unopposed,,,,98141,35.83%,,,,,,
18,AL,Alabama,3,n/a,,,Scattered,Scattered,,W,,,,,483,0.18%,,,,,,
19,AL,Alabama,3,n/a,,,,,District Votes:,,,,,,273930,,,,,,,
20,AL,Alabama,,n/a,,,,DISTRICT 4,,,,,,,,,,,,,,
21,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",,R,Unopposed,,,,199071,73.97%,,,,,W,
22,AL,Alabama,4,H2AL04055,,Daniel H.,Boman,"Boman, Daniel H.",,D,10971,51.45%,,,69706,25.90%,,,,,,
23,AL,Alabama,4,H2AL04063,,Rick,Neighbors,"Neighbors, Rick",,D,10353,48.55%,,,,,,,,,,
24,AL,Alabama,4,n/a,,,,,Party Votes:,D,21324,,,,,,,,,,,
25,AL,Alabama,4,n/a,,,Scattered,Scattered,,W,,,,,341,0.13%,,,,,,
26,AL,Alabama,4,n/a,,,,,District Votes:,,21324,,,,269118,,,,,,,
27,AL,Alabama,,n/a,,,,DISTRICT 5,,,,,,,,,,,,,,
28,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",,R,65163,70.94%,,,189185,64.95%,,,,,W,
29,AL,Alabama,5,H8AL05109,,Parker,Griffith,"Griffith, Parker",,R,26694,29.06%,,,,,,,,,,
30,AL,Alabama,5,n/a,,,,,Party Votes:,R,91857,,,,,,,,,,,
31,AL,Alabama,5,H2AL05094,,Charlie L.,Holley,"Holley, Charlie L.",,D,Unopposed,,,,101772,34.94%,,,,,,
32,AL,Alabama,5,n/a,,,Scattered,Scattered,,W,,,,,336,0.12%,,,,,,
33,AL,Alabama,5,n/a,,,,,District Votes:,,91857,,,,291293,,,,,,,
34,AL,Alabama,,n/a,,,,DISTRICT 6,,,,,,,,,,,,,,
35,AL,Alabama,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,63360,61.45%,,,219262,71.17%,,,,,W,
36,AL,Alabama,6,H2AL06126,,Scott,Beason,"Beason, Scott",,R,28673,27.81%,,,,,,,,,,
37,AL,Alabama,6,H2AL06100,,David,Standridge,"Standridge, David",,R,8120,7.87%,,,,,,,,,,
38,AL,Alabama,6,H2AL06134,,Al,Mickle,"Mickle, Al",,R,2930,2.84%,,,,,,,,,,
39,AL,Alabama,6,n/a,,Stan,Pate,"Pate, Stan  #",,R,33,0.03%,,,,,,,,,,"*  Stan Pate withdrew from the primary election, but his name still appeared on some absentee ballots."
40,AL,Alabama,6,n/a,,,,,Party Votes:,R,103116,,,,,,,,,,,
41,AL,Alabama,6,H2AL06142,,"Penny ""Colonel""",Bailey,"Bailey, Penny ""Colonel""",,D,5061,61.05%,,,88267,28.65%,,,,,,
42,AL,Alabama,6,H2AL06159,,William,Barnes,"Barnes, William",,D,3229,38.95%,,,,,,,,,,
43,AL,Alabama,6,n/a,,,,,Party Votes:,D,8290,,,,,,,,,,,
44,AL,Alabama,6,n/a,,,Scattered,Scattered,,W,,,,,573,0.19%,,,,,,
45,AL,Alabama,6,n/a,,,,,District Votes:,,111406,,,,308102,,,,,,,
46,AL,Alabama,,n/a,,,,DISTRICT 7,,,,,,,,,,,,,,
47,AL,Alabama,7,H0AL07086,(I),Terri A.,Sewell,"Sewell, Terri A.",,D,Unopposed,,,,232520,75.85%,,,,,W,
48,AL,Alabama,7,H0AL07177,,Don,Chamberlain,"Chamberlain, Don",,R,11537,66.10%,,,73835,24.09%,,,,,,
49,AL,Alabama,7,H2AL07165,,Phillip,Norris,"Norris, Phillip",,R,5918,33.90%,,,,,,,,,,
50,AL,Alabama,7,n/a,,,,,Party Votes:,R,17455,,,,,,,,,,,
51,AL,Alabama,7,n/a,,,Scattered,Scattered,,W,,,,,203,0.07%,,,,,,
52,AL,Alabama,7,n/a,,,,,District Votes:,,17455,,,,306558,,,,,,,
53,AL,Alabama,,n/a,,,,,,,,,,,,,,,,,,
54,AL,Alabama,H,n/a,,,,,Total State Votes:,,329715,,,,1933630,,,,,,,
55,,,,n/a,,,,,,,,,,,,,,,,,,
56,AK,Alaska,0,H6AK00045,(I),Don,Young,"Young, Don",,R,58789,78.59%,,,185296,63.94%,,,,,W,
57,AK,Alaska,0,H0AK00097,,John R.,Cox,"Cox, John R.",,R,11179,14.94%,,,,,,,,,,
58,AK,Alaska,0,H2AK00135,,Terré L.,Gales,"Gales, Terré L.",,R,4841,6.47%,,,,,,,,,,
59,AK,Alaska,0,n/a,,,,,Party Votes:,R,74809,,,,,,,,,,,
60,AK,Alaska,0,H2AK00119,,Sharon M.,Cissna,"Cissna, Sharon M.",,D,16329,50.32%,,,82927,28.61%,,,,,,
61,AK,Alaska,0,H2AK00101,,Matt,Moore,"Moore, Matt",,D,7374,22.73%,,,,,,,,,,
62,AK,Alaska,0,H2AK00127,,Debra,Chesnut,"Chesnut, Debra",,D,5626,17.34%,,,,,,,,,,
63,AK,Alaska,0,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,2085,6.43%,,,,,,,,,,
64,AK,Alaska,0,H2AK00093,,Doug,Urquidi,"Urquidi, Doug",,D,1034,3.19%,,,,,,,,,,
65,AK,Alaska,0,n/a,,,,,Party Votes:,D,32448,,,,,,,,,,,
66,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,5741,100.00%,,,15028,5.19%,,,,,,
67,AK,Alaska,0,n/a,,,,,Party Votes:,LIB,5741,,,,,,,,,,,
68,AK,Alaska,0,H2AK00176,,Ted,Gianoutsos,"Gianoutsos, Ted",,NAF,,,,,5589,1.93%,,,,,,
69,AK,Alaska,0,n/a,,,Scattered,Scattered,,W,,,,,964,0.33%,,,,,,
70,AK,Alaska,0,n/a,,,,,District Votes:,,112998,,,,289804,,,,,,,
71,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
72,AK,Alaska,H,n/a,,,,,Total State Votes:,,112998,,,,289804,,,,,,,
73,,,,n/a,,,,,,,,,,,,,,,,,,
74,AS,American Samoa,0,H0AS00018,(I),Eni F.H.,Faleomavaega,"Faleomavaega, Eni F.H.",,D,,,,,7221,55.22%,,,,,W,
75,AS,American Samoa,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,CON,,,,,4420,33.80%,,,,,,
76,AS,American Samoa,0,H8AS00052,,Rosie F. Tago,Lancaster,"Lancaster, Rosie F. Tago",,IND,,,,,697,5.33%,,,,,,
77,AS,American Samoa,0,H2AS00055,,"Kereti, Jr.",Mata'utia,"Mata'utia, Kereti, Jr.",,D,,,,,438,3.35%,,,,,,
78,AS,American Samoa,0,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,"Al-Sheri, Fatumalala Leulua'iali'i A.",,NPA,,,,,300,2.29%,,,,,,
79,AS,American Samoa,0,n/a,,,,,District Votes:,,,,,,13076,,,,,,,
80,AS,American Samoa,,n/a,,,,,,,,,,,,,,,,,,
81,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,13076,,,,,,,
82,,,,n/a,,,,,,,,,,,,,,,,,,
83,AZ,Arizona,,n/a,,,,DISTRICT 1,,,,,,,,,,,,,,
84,AZ,Arizona,1,H8AZ01104,,Ann,Kirkpatrick,"Kirkpatrick, Ann",,D,33831,63.74%,,,122774,48.80%,,,,,W,
85,AZ,Arizona,1,H2AZ01271,,Wenona,Benally Baldenegro,"Benally Baldenegro, Wenona",,D,19247,36.26%,,,,,,,,,,
86,AZ,Arizona,1,n/a,,,,,Party Votes:,D,53078,,,,,,,,,,,
87,AZ,Arizona,1,H0AZ08056,,Jonathan,Paton,"Paton, Jonathan",,R,28644,60.86%,,,113594,45.15%,,,,,,
88,AZ,Arizona,1,H2AZ01305,,Gaither,Martin,"Martin, Gaither",,R,8958,19.03%,,,,,,,,,,
89,AZ,Arizona,1,H2AZ01289,,Douglas,Wade,"Wade, Douglas",,R,6758,14.36%,,,,,,,,,,
90,AZ,Arizona,1,H2AZ01313,,Patrick,Gatti,"Gatti, Patrick",,R,2707,5.75%,,,,,,,,,,
91,AZ,Arizona,1,n/a,,,,,Party Votes:,R,47067,,,,,,,,,,,
92,AZ,Arizona,1,H2AZ01321,,Kim,Allen,"Allen, Kim",,W(LIB)/LIB,97,100.00%,,,15227,6.05%,,,,,,
93,AZ,Arizona,1,n/a,,,,,Party Votes:,LIB,97,,,,,,,,,,,
94,AZ,Arizona,1,n/a,,,,,District Votes:,,100242,,,,251595,,,,,,,
95,AZ,Arizona,,n/a,,,,DISTRICT 2,,,,,,,,,,,,,,
96,AZ,Arizona,2,H2AZ08094,(I),Ron ,Barber,"Barber, Ron ",,D,51206,82.03%,,,147338,50.41%,,,,,W,
97,AZ,Arizona,2,H2AZ08078,,Matt,Heinz,"Heinz, Matt",,D,11213,17.96%,,,,,,,,,,
98,AZ,Arizona,2,H2AZ08128,,Charlie,Manolakis,"Manolakis, Charlie",,W(D),4,0.01%,,,,,,,,,,
99,AZ,Arizona,2,n/a,,,,,Party Votes:,D,62423,,,,,,,,,,,
100,AZ,Arizona,2,H2AZ08102,,Martha ,McSally,"McSally, Martha ",,R,52809,81.70%,,,144884,49.57%,,,,,,
101,AZ,Arizona,2,H2AZ08110,,Mark,Koskiniemi,"Koskiniemi, Mark",,R,11828,18.30%,,,,,,,,,,
102,AZ,Arizona,2,n/a,,,,,Party Votes:,R,64637,,,,,,,,,,,
103,AZ,Arizona,2,H2AZ08045,,Anthony,Prowell,"Prowell, Anthony",,W,,,,,57,0.02%,,,,,,
104,AZ,Arizona,2,n/a,,,,,District Votes:,,127060,,,,292279,,,,,,,
105,AZ,Arizona,,n/a,,,,DISTRICT 3,,,,,,,,,,,,,,
106,AZ,Arizona,3,H2AZ07070,(I),Raúl M.,Grijalva,"Grijalva, Raúl M.",,D,24044,65.63%,,,98468,58.37%,,,,,W,
107,AZ,Arizona,3,H2AZ03137,,Amanda,Aguirre,"Aguirre, Amanda",,D,9484,25.89%,,,,,,,,,,
108,AZ,Arizona,3,H2AZ03111,,Manny,Arreguin,"Arreguin, Manny",,D,3105,8.48%,,,,,,,,,,
109,AZ,Arizona,3,n/a,,,,,Party Votes:,D,36633,,,,,,,,,,,
110,AZ,Arizona,3,H2AZ07146,,Gabriela,Saucedo Mercer,"Saucedo Mercer, Gabriela",,R,12474,65.32%,,,62663,37.15%,,,,,,
